frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
3,0.1,22,19,1,1,539.029,601.308,517,590,43,23,279,0.4083,38.24,49.0,222.868,93.296,8.254,73.143,0.4186,27
3,0.1,23,74,1,1,842.244,593.321,837,589,11,9,78,0.8583,58.526,103.0,247.261,196.467,3.091,42.636,0.7946,80
3,0.1,24,6,1,0,511.0,612.077,508,611,8,3,13,0.2583,30.231,31.0,0.666,0.666,0.133,0.666,1.0,5
3,0.1,25,16,1,0,471.889,613.722,468,613,11,3,18,0.275,30.722,33.0,7.808,1.551,0.521,3.078,0.1986,15
3,0.1,26,155,1,0,489.5,613.0,488,613,4,1,4,0.25,30.0,30.0,346.248,50.962,2.086,18.419,0.1472,166
3,0.1,27,27,1,1,442.75,614.75,442,614,3,2,4,0.2583,30.5,31.0,54.787,51.539,2.029,26.261,0.9407,27
3,0.1,28,21,1,0,175.5,621.0,169,621,14,1,14,0.2667,31.357,32.0,11.138,3.0,0.53,4.148,0.2693,21
3,0.1,29,4,1,0,93.0,623.0,92,623,3,1,3,0.25,30.0,30.0,0.0,0.0,0.0,0.0,0.0,3
3,0.1,32,80,1,1,841.333,631.5,840,630,4,4,12,0.3333,34.083,40.0,796.279,332.509,8.947,35.145,0.4176,89
3,0.1,34,7,1,1,1363.5,582.0,1363,582,2,1,2,0.25,30.0,30.0,21.214,21.209,2.357,4.586,0.9997,9
3,0.1,35,3,1,0,564.818,585.182,564,583,3,5,11,0.2917,31.364,35.0,0.72,0.624,0.36,0.601,0.866,2
3,0.1,36,10,1,0,1360.5,582.0,1360,582,2,1,2,0.2583,30.5,31.0,3.33,0.92,0.37,1.512,0.2762,9
3,0.1,37,5,1,0,1366.333,581.667,1366,581,2,2,3,0.2583,30.333,31.0,6.584,6.576,1.646,5.209,0.9989,4
3,0.1,38,30,1,0,307.094,617.594,299,617,17,3,32,0.2833,30.688,34.0,40.426,3.465,1.304,9.197,0.0857,31
3,0.1,39,3,1,1,660.571,529.714,660,528,2,4,7,0.275,30.714,33.0,86.753,81.47,43.376,78.824,0.9391,2
3,0.1,40,3,1,0,495.5,613.0,495,613,2,1,2,0.25,30.0,30.0,0.0,0.0,0.0,0.0,0.0,2
4,0.1333,1,507,1,0,943.822,317.332,935,310,20,16,202,1.0,95.837,186.0,136.218,15.329,0.269,4.253,0.1125,506
4,0.1333,2,507,1,0,996.308,319.025,990,314,15,11,120,1.0,127.025,224.0,103.209,12.365,0.204,2.49,0.1198,506
4,0.1333,3,63,1,1,1261.147,378.797,1247,369,30,19,266,1.0,112.609,243.0,869.389,328.438,12.976,71.865,0.3778,67
4,0.1333,4,14,1,0,1105.75,415.25,1105,415,3,2,4,0.2917,32.75,35.0,2.513,2.226,0.193,1.572,0.8857,13
4,0.1333,5,52,1,1,688.0,453.0,688,452,1,3,3,0.4167,43.0,50.0,217.553,181.251,3.956,102.165,0.8331,55
4,0.1333,6,13,1,1,682.971,495.829,679,494,9,5,35,1.0,65.371,129.0,138.618,115.966,8.664,24.701,0.8366,16
4,0.1333,7,64,1,1,833.844,505.844,830,504,8,5,32,0.6417,51.25,77.0,259.16,191.855,4.114,39.761,0.7403,63
4,0.1333,8,18,1,1,661.5,515.5,661,515,2,2,4,0.25,30.0,30.0,18.288,16.847,1.076,17.18,0.9212,17
4,0.1333,9,259,1,0,1006.158,517.455,1000,513,14,10,101,1.0,86.832,160.0,165.127,52.174,0.635,19.317,0.316,260
4,0.1333,10,158,1,0,955.299,522.938,949,516,15,20,177,1.0,96.972,192.0,60.61,4.872,0.379,3.947,0.0804,160
