frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
4,0.1333,8,36,1,1,781.963,441.407,777,440,10,4,27,0.2639,18.407,19.0,60.172,54.539,1.337,11.505,0.9064,45
4,0.1333,9,49,1,0,800.982,440.42,789,437,25,7,112,0.2917,18.929,21.0,40.867,7.019,0.834,8.494,0.1717,49
4,0.1333,10,65,1,1,810.667,436.667,810,436,2,2,3,0.25,18.0,18.0,123.379,76.816,1.645,21.869,0.6226,75
4,0.1333,13,23,1,1,683.511,495.979,679,494,11,5,47,1.0,54.213,129.0,70.073,64.313,2.803,24.164,0.9178,25
4,0.1333,14,46,1,1,834.057,505.887,830,503,9,7,53,1.0,40.189,77.0,167.138,154.666,3.714,22.444,0.9254,45
4,0.1333,16,153,1,0,1006.467,517.283,1000,513,15,11,120,1.0,77.017,160.0,69.075,5.386,0.443,3.852,0.078,156
4,0.1333,17,89,1,1,955.332,522.355,949,512,16,24,220,1.0,82.5,192.0,665.962,176.725,7.483,37.876,0.2654,89
4,0.1333,19,65,1,0,851.0,541.234,845,537,12,9,77,1.0,62.922,150.0,357.721,26.169,5.339,24.629,0.0732,67
4,0.1333,20,6,1,1,853.269,585.192,849,581,9,9,52,1.0,42.731,90.0,22.527,22.22,4.505,13.805,0.9864,5
4,0.1333,26,51,1,1,840.486,614.629,838,612,7,7,35,0.6528,26.543,47.0,316.496,146.361,5.972,23.629,0.4624,53
4,0.1333,27,102,1,1,1284.318,799.645,1276,795,18,10,107,0.8611,34.299,62.0,1011.036,423.75,9.361,61.32,0.4191,108
4,0.1333,29,16,1,0,869.0,429.333,868,429,3,2,3,0.2778,18.667,20.0,6.592,0.601,0.439,0.601,0.0912,15
4,0.1333,30,29,1,0,814.0,436.0,813,436,3,1,3,0.2639,18.333,19.0,63.499,7.649,2.048,24.083,0.1205,31
4,0.1333,32,22,1,0,695.991,450.653,664,444,72,16,438,1.0,34.009,199.0,11.479,1.431,0.522,5.675,0.1247,22
5,0.1667,1,153,1,0,942.549,316.912,931,309,25,17,284,1.0,74.504,184.0,28.982,7.891,0.186,2.386,0.2723,156
5,0.1667,2,153,1,0,996.052,319.007,989,314,16,12,135,1.0,115.563,224.0,26.616,5.853,0.171,1.583,0.2199,156
5,0.1667,3,47,1,1,1262.841,377.823,1247,367,33,21,339,1.0,93.33,242.0,832.205,564.662,14.348,71.812,0.6785,58
