track_id,valid_flying_track,confirmed,active_at_end,lifetime_frames,first_frame,last_frame,frame_span,start_cx,start_cy,end_cx,end_cy,path_length_px,net_displacement_px,mean_speed_px_frame,max_step_speed_px_frame,directionality
469,1,1,1,13,482,494,12,832.094,485.281,893.885,489.689,73.431,61.948,6.119,20.065,0.8436
121,1,1,0,12,104,115,11,785.755,472.404,899.082,465.6,113.621,113.531,10.329,39.699,0.9992
404,1,1,0,12,394,407,13,559.333,595.333,468.5,621.0,121.051,94.39,9.312,30.151,0.7798
443,1,1,0,12,445,456,11,421.5,857.019,146.563,868.005,276.641,275.157,25.149,86.4,0.9946
465,1,1,1,12,479,494,15,1004.903,475.548,908.208,475.292,96.997,96.695,6.466,16.421,0.9969
81,1,1,0,11,65,78,13,826.833,592.617,921.5,509.0,186.526,126.307,14.348,64.753,0.6772
139,1,1,0,11,123,133,10,660.741,481.815,662.333,509.0,79.885,27.232,7.989,37.045,0.3409
358,1,1,0,11,324,334,10,386.679,626.088,551.62,612.56,165.72,165.494,16.572,71.539,0.9986
383,1,1,0,11,363,373,10,485.55,604.047,298.5,628.0,189.717,188.577,18.972,80.274,0.994
108,1,1,0,10,92,103,11,1010.5,510.5,964.636,461.909,71.318,66.817,6.483,20.434,0.9369
123,1,1,0,10,104,113,9,1196.06,633.354,946.391,627.196,250.557,249.745,27.84,71.119,0.9968
155,1,1,0,10,143,156,13,1130.188,464.0,1037.848,463.413,92.427,92.342,7.11,12.005,0.9991
159,1,1,0,10,143,156,13,392.5,617.0,345.0,619.0,47.542,47.542,3.657,47.542,1.0
276,1,1,0,10,228,237,9,1037.55,512.45,1133.0,510.0,95.659,95.481,10.629,32.149,0.9981
305,1,1,0,10,231,244,13,375.647,685.736,227.5,622.0,177.784,161.275,13.676,42.016,0.9071
308,1,1,0,10,235,248,13,197.375,622.5,18.691,674.015,189.076,185.962,14.544,28.058,0.9835
324,1,1,0,10,247,259,12,1179.089,590.911,1252.5,588.0,76.748,73.468,6.396,24.942,0.9573
381,1,1,0,10,359,368,9,556.27,595.46,536.667,604.667,40.39,21.658,4.488,29.234,0.5362
412,1,1,0,10,399,408,9,1170.633,617.73,1002.87,595.277,169.962,169.259,18.885,51.408,0.9959
414,1,1,0,10,399,408,9,806.841,777.024,540.188,764.47,267.275,266.948,29.697,72.497,0.9988
424,1,1,0,10,412,423,11,874.333,310.667,943.5,343.0,76.82,76.351,6.984,25.371,0.9939
427,1,1,0,10,415,428,13,189.273,784.932,215.713,757.84,155.469,37.856,11.959,56.458,0.2435
444,1,1,0,10,449,458,9,278.322,673.612,74.703,758.214,221.054,220.496,24.562,57.429,0.9975
456,1,1,0,10,470,479,9,1120.457,390.717,1091.0,414.0,38.365,37.547,4.263,23.252,0.9787
63,1,1,0,9,34,44,10,1210.604,689.896,1002.286,644.0,213.365,213.314,21.337,69.519,0.9998
130,1,1,0,9,114,122,8,854.574,609.974,768.0,589.0,89.253,89.079,11.157,35.82,0.998
316,1,1,0,9,244,256,12,960.352,271.529,944.192,328.654,59.753,59.366,4.979,19.424,0.9935
34,1,1,0,8,6,13,7,1379.321,818.017,1288.0,763.0,107.748,106.613,15.393,55.172,0.9895
38,1,1,0,8,11,18,7,873.333,566.875,890.286,568.0,21.644,16.99,3.092,11.041,0.7849
115,1,1,0,8,96,103,7,691.059,528.412,663.0,542.5,50.866,31.397,7.267,22.137,0.6172
156,1,1,0,8,143,156,13,662.143,530.429,647.242,547.806,37.872,22.892,2.913,7.506,0.6045
160,1,1,0,8,144,156,12,276.857,620.429,212.143,621.286,76.085,64.72,6.34,33.591,0.8506
161,1,1,0,8,145,156,11,1117.024,435.762,1036.356,438.8,80.817,80.725,7.347,13.16,0.9989
280,1,1,0,8,228,237,9,783.8,532.15,719.083,540.948,65.406,65.312,7.267,18.12,0.9986
416,1,1,0,8,399,406,7,813.051,918.309,615.718,906.824,197.785,197.667,28.255,68.795,0.9994
421,1,1,0,8,409,416,7,405.19,767.85,219.183,775.845,186.202,186.179,26.6,74.811,0.9999
425,1,1,0,8,413,422,9,283.139,933.566,320.433,900.25,67.778,50.008,7.531,24.063,0.7378
435,1,1,0,8,429,438,9,686.988,868.341,590.4,868.327,96.925,96.588,10.769,26.649,0.9965
60,1,1,0,7,31,38,7,125.0,623.0,259.0,620.0,134.037,134.034,19.148,97.266,1.0
78,1,1,0,7,59,65,6,1375.743,591.63,1138.504,601.224,237.674,237.433,39.612,110.587,0.999
100,1,1,0,7,82,88,6,677.25,791.625,577.25,870.078,127.105,127.102,21.184,83.055,1.0
119,1,1,0,7,99,105,6,1397.442,615.347,1236.5,627.0,161.448,161.363,26.908,88.446,0.9995
315,1,1,0,7,240,250,10,616.0,561.5,675.4,563.8,71.362,59.445,7.136,12.846,0.833
333,1,1,0,7,253,259,6,1338.214,585.143,1318.0,586.5,20.476,20.26,3.413,20.347,0.9895
350,1,1,0,7,310,316,6,671.653,519.184,704.866,517.09,33.725,33.279,5.621,11.921,0.9868
391,1,1,0,7,379,385,6,594.007,547.061,568.667,560.333,44.854,28.606,7.476,19.071,0.6378
399,1,1,0,7,392,398,6,1418.898,628.981,1268.734,623.461,150.419,150.265,25.07,58.575,0.999
400,1,1,0,7,392,398,6,1424.03,703.776,1270.287,710.911,153.922,153.908,25.654,55.886,0.9999
402,1,1,0,7,392,398,6,1181.5,937.0,950.212,933.388,231.573,231.316,38.595,84.807,0.9989
20,1,1,0,6,0,5,5,836.148,599.296,853.365,585.25,22.527,22.22,4.505,13.805,0.9864
84,1,1,0,6,68,73,5,929.308,512.662,967.739,601.724,123.204,97.0,24.641,74.839,0.7873
87,1,1,0,6,68,73,5,1084.74,674.87,973.4,697.829,113.776,113.683,22.755,57.246,0.9992
162,1,1,0,6,147,156,9,827.349,433.627,898.392,417.013,73.992,72.96,8.221,13.495,0.986
303,1,1,0,6,229,234,5,427.268,829.759,357.093,891.178,93.429,93.257,18.686,48.818,0.9982
343,1,1,0,6,267,273,6,1006.5,522.5,961.061,540.408,49.335,48.84,8.223,24.189,0.99
393,1,1,0,6,379,384,5,75.987,643.589,1.125,714.375,125.093,103.029,25.019,72.304,0.8236
419,1,1,0,6,403,410,7,546.0,600.75,602.25,570.75,81.28,63.75,11.611,24.053,0.7843
48,1,1,0,5,19,23,4,1258.101,830.294,1259.322,804.753,25.63,25.569,6.407,25.595,0.9976
112,1,1,0,5,94,98,4,403.955,639.713,398.0,686.0,46.817,46.668,11.704,25.394,0.9968
311,1,1,0,5,237,241,4,671.215,246.641,822.474,265.318,152.62,152.407,38.155,77.195,0.9986
331,1,1,0,5,253,257,4,1297.908,209.841,1412.703,175.37,119.902,119.859,29.976,64.177,0.9996
344,1,1,0,5,291,295,4,674.952,455.095,702.714,493.0,47.715,46.984,11.929,46.165,0.9847
76,1,1,0,4,52,55,3,515.217,834.913,566.929,876.107,66.114,66.114,22.038,66.114,1.0
96,1,1,0,4,77,83,6,876.523,555.205,912.167,548.167,36.437,36.332,6.073,9.05,0.9971
177,1,1,0,4,207,212,5,887.673,425.527,909.019,421.321,21.757,21.757,4.351,7.252,1.0
178,1,1,0,4,207,212,5,702.376,447.118,677.102,451.071,25.608,25.582,5.122,8.517,0.999
